Level	Rule Name	Subject	Property	Value
WARN	missing_definition	Belgian White and Blue Pied	IAO:0000115	
WARN	missing_definition	Alsation	IAO:0000115	
WARN	missing_definition	Rhodesian Ridgeback	IAO:0000115	
WARN	missing_definition	Tuli	IAO:0000115	
WARN	missing_definition	Manguni	IAO:0000115	
WARN	missing_definition	Quarter Horse	IAO:0000115	
WARN	missing_definition	Mashona	IAO:0000115	
WARN	missing_definition	Siamese	IAO:0000115	
WARN	missing_definition	Montbeliarde	IAO:0000115	
WARN	missing_definition	Podolian	IAO:0000115	
WARN	missing_definition	Apulian	IAO:0000115	
WARN	missing_definition	Perendale	IAO:0000115	
WARN	missing_definition	Hariana	IAO:0000115	
WARN	missing_definition	Fleckvieh	IAO:0000115	
WARN	missing_definition	British White Park	IAO:0000115	
WARN	missing_definition	Braford	IAO:0000115	
WARN	missing_definition	Hereford	IAO:0000115	
WARN	missing_definition	Alaskan Malamute	IAO:0000115	
WARN	missing_definition	Grauvieh	IAO:0000115	
WARN	missing_definition	Miniature Poodle	IAO:0000115	
WARN	missing_definition	Old English Sheepdog	IAO:0000115	
WARN	missing_definition	Alpine Grey	IAO:0000115	
WARN	missing_definition	Hampshire	IAO:0000115	
WARN	missing_definition	Red Angus	IAO:0000115	
WARN	missing_definition	Afrikaner	IAO:0000115	
WARN	missing_definition	West Highland White Terrier	IAO:0000115	
WARN	missing_definition	Dalmatian	IAO:0000115	
WARN	missing_definition	Galloway	IAO:0000115	
WARN	missing_definition	Vendee	IAO:0000115	
WARN	missing_definition	Manx	IAO:0000115	
WARN	missing_definition	Basset Hound	IAO:0000115	
WARN	missing_definition	Langhe	IAO:0000115	
WARN	missing_definition	English Setter	IAO:0000115	
WARN	missing_definition	Devon	IAO:0000115	
WARN	missing_definition	Spaniel	IAO:0000115	
WARN	missing_definition	Poodle	IAO:0000115	
WARN	missing_definition	Angoni	IAO:0000115	
WARN	missing_definition	Dala	IAO:0000115	
WARN	missing_definition	Charolais	IAO:0000115	
WARN	missing_definition	Rygja	IAO:0000115	
WARN	missing_definition	Cheviot	IAO:0000115	
WARN	missing_definition	Lincoln	IAO:0000115	
WARN	missing_definition	Welsh Mountain	IAO:0000115	
WARN	missing_definition	South Hampshire	IAO:0000115	
WARN	missing_definition	Abyssinian	IAO:0000115	
WARN	missing_definition	Pomeranian	IAO:0000115	
WARN	missing_definition	Australian Illawarra Shorthorn	IAO:0000115	
WARN	missing_definition	Greyhound	IAO:0000115	
WARN	missing_definition	English Pointer	IAO:0000115	
WARN	missing_definition	Staffordshire Bull Terrier	IAO:0000115	
WARN	missing_definition	Corgi	IAO:0000115	
WARN	missing_definition	Light Brown Leghorn	IAO:0000115	
WARN	missing_definition	Burmese	IAO:0000115	
WARN	missing_definition	Romagna	IAO:0000115	
WARN	missing_definition	Pied Hungarian	IAO:0000115	
WARN	missing_definition	Vorderwald	IAO:0000115	
WARN	missing_definition	Hinterwalder	IAO:0000115	
WARN	missing_definition	Red	IAO:0000115	
WARN	missing_definition	Red and White	IAO:0000115	
WARN	missing_definition	Black Pied Swiss	IAO:0000115	
WARN	missing_definition	Franconian	IAO:0000115	
WARN	missing_definition	Cardigan Welsh Corgi	IAO:0000115	
WARN	missing_definition	Shetland Sheepdog	IAO:0000115	
WARN	missing_definition	Chianina	IAO:0000115	
WARN	missing_definition	Basenji	IAO:0000115	
WARN	missing_definition	Afghan Hound	IAO:0000115	
WARN	missing_definition	Bedlington Terrier	IAO:0000115	
WARN	missing_definition	Wirehaired Fox Terrier	IAO:0000115	
WARN	missing_definition	Alai Fat Rumped	IAO:0000115	
WARN	missing_definition	Saraja	IAO:0000115	
WARN	missing_definition	Schwarzbunt	IAO:0000115	
WARN	missing_definition	Kazakh Finewool	IAO:0000115	
WARN	missing_definition	Himalayan	IAO:0000115	
WARN	missing_definition	Holsteiner	IAO:0000115	
WARN	missing_definition	Piedmont	IAO:0000115	
WARN	missing_definition	Southdown	IAO:0000115	
WARN	missing_definition	Fulani	IAO:0000115	
WARN	missing_definition	Maure	IAO:0000115	
WARN	missing_definition	Bororo	IAO:0000115	
WARN	missing_definition	Brazilian Somali	IAO:0000115	
WARN	missing_definition	Morada Nova	IAO:0000115	
WARN	missing_definition	Santa Ines	IAO:0000115	
