defined_class	defined_class_label	taxon	lbo_id	venom_code	fci_id
ID	LABEL	SC 'in taxon' some %	A http://purl.obolibrary.org/obo/omia#lbo_id	A http://purl.obolibrary.org/obo/omia#venom_code	A http://purl.obolibrary.org/obo/omia#fci_id
OMIA:4	Briard	NCBITaxon:9615		13756	
OMIA:68	German Boxer	NCBITaxon:9615		13727	
OMIA:7	Boxer	NCBITaxon:9615		13724	
OMIA:758	Bichon Frise	NCBITaxon:9615		13714	
OMIA:85	Beagle	NCBITaxon:9615		13683	
OMIA:936	Basset Fauve de Bretagne	NCBITaxon:9615		13682	
OMIA:212	Basenji	NCBITaxon:9615		13678	
OMIA:1129	Australian Kelpie	NCBITaxon:9615		13675	
OMIA:170	Alaskan Malamute	NCBITaxon:9615		13642	
OMIA:550	Malamute	NCBITaxon:9615		13642	
OMIA:953	Alaskan Klee Kai	NCBITaxon:9615		13641	
OMIA:1090	American Akita	NCBITaxon:9615		13639	
OMIA:981	Akita	NCBITaxon:9615		13638	
OMIA:929	Boerboel	NCBITaxon:9615		13635	
OMIA:983	Somali	NCBITaxon:9685		7355	
OMIA:744	Bouvier	NCBITaxon:9615		7351	
OMIA:306	Chihuahua	NCBITaxon:9615		7347	
OMIA:100	Red Spotted Czech	NCBITaxon:9913			
OMIA:1001	Eskimo Spitz	NCBITaxon:9615			
OMIA:1002	Chinese Xingyi	NCBITaxon:9031			
OMIA:1003	Japanese game fowl	NCBITaxon:9031			
OMIA:1008	Bama miniature	NCBITaxon:9823			
OMIA:1009	Mongolian Turano	NCBITaxon:9913			
OMIA:1010	Camarillo White Horse	NCBITaxon:9796			
OMIA:1011	Japanese Draft	NCBITaxon:9796			
OMIA:1013	Noriker	NCBITaxon:9796			
OMIA:1014	Gipsy	NCBITaxon:9796			
OMIA:1015	South German Draft	NCBITaxon:9796			
OMIA:1020	Loh	NCBITaxon:9986			
OMIA:1022	Danish Holstein	NCBITaxon:9913			
OMIA:1029	Swedish Briard 	NCBITaxon:9615			
OMIA:1033	German Holstein	NCBITaxon:9913			
OMIA:1034	Swiss Holstein	NCBITaxon:9913			
